accession	filePath	label	name	lab
ENCFF582SNT	./example_CTCF/beds/ENCFF582SNT.bed	K562	K562 (DS0,f0)	Richard Myers, HAIB
ENCFF362OPG	./example_CTCF/beds/ENCFF362OPG.bed	K562	K562 (DS1,f0)	Bradley Bernstein, Broad
ENCFF736NYC	./example_CTCF/beds/ENCFF736NYC.bed	K562	K562 (DS2,f0)	John Stamatoyannopoulos, UW
ENCFF089FZZ	./example_CTCF/beds/ENCFF089FZZ.bed	K562	K562 (DS3,f0)	Vishwanath Iyer, UTA
ENCFF740TLU	./example_CTCF/beds/ENCFF740TLU.bed	K562	K562 (DS3,f1)	Vishwanath Iyer, UTA
ENCFF221SKA	./example_CTCF/beds/ENCFF221SKA.bed	K562	K562 (DS3,f2)	Vishwanath Iyer, UTA
ENCFF660GHM	./example_CTCF/beds/ENCFF660GHM.bed	K562	K562 (DS4,f0)	Michael Snyder, Stanford
ENCFF096ZTD	./example_CTCF/beds/ENCFF096ZTD.bed	GM12878	GM12878 (DS0,f0)	Vishwanath Iyer, UTA
ENCFF827JRI	./example_CTCF/beds/ENCFF827JRI.bed	GM12878	GM12878 (DS0,f1)	Vishwanath Iyer, UTA
ENCFF770BRI	./example_CTCF/beds/ENCFF770BRI.bed	GM12878	GM12878 (DS0,f2)	Vishwanath Iyer, UTA
ENCFF138REW	./example_CTCF/beds/ENCFF138REW.bed	GM12878	GM12878 (DS1,f0)	Michael Snyder, Stanford
ENCFF951PEM	./example_CTCF/beds/ENCFF951PEM.bed	GM12878	GM12878 (DS2,f0)	John Stamatoyannopoulos, UW
ENCFF797SDL	./example_CTCF/beds/ENCFF797SDL.bed	GM12878	GM12878 (DS3,f0)	Bradley Bernstein, Broad
ENCFF205OKL	./example_CTCF/beds/ENCFF205OKL.bed	HepG2	HepG2 (DS0,f0)	Bradley Bernstein, Broad
ENCFF199YFA	./example_CTCF/beds/ENCFF199YFA.bed	HepG2	HepG2 (DS1,f0)	Richard Myers, HAIB
ENCFF119PKI	./example_CTCF/beds/ENCFF119PKI.bed	HepG2	HepG2 (DS2,f0)	John Stamatoyannopoulos, UW
ENCFF240MUS	./example_CTCF/beds/ENCFF240MUS.bed	HepG2	HepG2 (DS3,f0)	Vishwanath Iyer, UTA
ENCFF948CYD	./example_CTCF/beds/ENCFF948CYD.bed	MCF-7	MCF-7 (DS0,f0)	John Stamatoyannopoulos, UW
ENCFF198YOJ	./example_CTCF/beds/ENCFF198YOJ.bed	MCF-7	MCF-7 (DS1,f0)	Vishwanath Iyer, UTA
ENCFF163JHE	./example_CTCF/beds/ENCFF163JHE.bed	MCF-7	MCF-7 (DS2,f0)	Vishwanath Iyer, UTA
ENCFF596MGE	./example_CTCF/beds/ENCFF596MGE.bed	MCF-7	MCF-7 (DS3,f0)	Richard Myers, HAIB
ENCFF683EEW	./example_CTCF/beds/ENCFF683EEW.bed	MCF-7	MCF-7 (DS4,f0)	Vishwanath Iyer, UTA
ENCFF721XKI	./example_CTCF/beds/ENCFF721XKI.bed	MCF-7	MCF-7 (DS5,f0)	Vishwanath Iyer, UTA
ENCFF278FNP	./example_CTCF/beds/ENCFF278FNP.bed	MCF-7	MCF-7 (DS6,f0)	Bradley Bernstein, Broad
ENCFF023LAA	./example_CTCF/beds/ENCFF023LAA.bed	H1	H1 (DS0,f0)	Richard Myers, HAIB
ENCFF030QAM	./example_CTCF/beds/ENCFF030QAM.bed	HeLa-S3	HeLa-S3 (DS0,f0)	John Stamatoyannopoulos, UW
ENCFF111RWV	./example_CTCF/beds/ENCFF111RWV.bed	HeLa-S3	HeLa-S3 (DS1,f0)	Bradley Bernstein, Broad
ENCFF548ARU	./example_CTCF/beds/ENCFF548ARU.bed	HeLa-S3	HeLa-S3 (DS2,f0)	Vishwanath Iyer, UTA
ENCFF723DCX	./example_CTCF/beds/ENCFF723DCX.bed	A549	A549 (DS0,f0)	John Stamatoyannopoulos, UW
ENCFF005MCX	./example_CTCF/beds/ENCFF005MCX.bed	A549	A549 (DS1,f0)	Michael Snyder, Stanford
ENCFF467CVV	./example_CTCF/beds/ENCFF467CVV.bed	A549	A549 (DS2,f0)	Vishwanath Iyer, UTA
ENCFF245RYN	./example_CTCF/beds/ENCFF245RYN.bed	A549	A549 (DS3,f0)	Tim Reddy, Duke
ENCFF337ZMK	./example_CTCF/beds/ENCFF337ZMK.bed	A549	A549 (DS3,f1)	Tim Reddy, Duke
ENCFF624ZSR	./example_CTCF/beds/ENCFF624ZSR.bed	A549	A549 (DS3,f2)	Tim Reddy, Duke
ENCFF608JKY	./example_CTCF/beds/ENCFF608JKY.bed	SK-N-SH	SK-N-SH (DS0,f0)	Michael Snyder, Stanford
ENCFF244QKO	./example_CTCF/beds/ENCFF244QKO.bed	SK-N-SH	SK-N-SH (DS1,f0)	Bradley Bernstein, Broad
ENCFF670ULH	./example_CTCF/beds/ENCFF670ULH.bed	IMR-90	IMR-90 (DS0,f0)	Michael Snyder, Stanford
ENCFF832INR	./example_CTCF/beds/ENCFF832INR.bed	HCT116	HCT116 (DS0,f0)	John Stamatoyannopoulos, UW
ENCFF273SBR	./example_CTCF/beds/ENCFF273SBR.bed	HCT116	HCT116 (DS1,f0)	Richard Myers, HAIB
ENCFF803RIY	./example_CTCF/beds/ENCFF803RIY.bed	HCT116	HCT116 (DS2,f0)	Bradley Bernstein, Broad
